feat1,feat2,feat3,feat4,feat5,feat6,feat7
15.26,14.84,0.871,5.763,3.312,2.221,5.22
14.88,14.57,0.8811,5.554,3.333,1.018,4.956
14.29,14.09,0.905,5.291,3.337,2.699,4.825
13.84,13.94,0.8955,5.324,3.379,2.259,4.805
16.14,14.99,0.9034,5.658,3.562,1.355,5.175
14.38,14.21,0.8951,5.386,3.312,2.462,4.956
14.69,14.49,0.8799,5.563,3.259,3.586,5.219
14.11,14.1,0.8911,5.42,3.302,2.7,5.001
16.63,15.46,0.8747,6.053,3.465,2.04,5.877
16.44,15.25,0.888,5.884,3.505,1.969,5.533
15.26,14.85,0.8696,5.714,3.242,4.543,5.314
14.03,14.16,0.8796,5.438,3.201,1.717,5.001
13.89,14.02,0.888,5.439,3.199,3.986,4.738
13.78,14.06,0.8759,5.479,3.156,3.136,4.872
13.74,14.05,0.8744,5.482,3.114,2.932,4.825
14.59,14.28,0.8993,5.351,3.333,4.185,4.781
13.99,13.83,0.9183,5.119,3.383,5.234,4.781
15.69,14.75,0.9058,5.527,3.514,1.599,5.046
14.7,14.21,0.9153,5.205,3.466,1.767,4.649
12.72,13.57,0.8686,5.226,3.049,4.102,4.914
14.16,14.4,0.8584,5.658,3.129,3.072,5.176
14.11,14.26,0.8722,5.52,3.168,2.688,5.219
15.88,14.9,0.8988,5.618,3.507,0.7651,5.091
12.08,13.23,0.8664,5.099,2.936,1.415,4.961
15.01,14.76,0.8657,5.789,3.245,1.791,5.001
16.19,15.16,0.8849,5.833,3.421,0.903,5.307
13.02,13.76,0.8641,5.395,3.026,3.373,4.825
12.74,13.67,0.8564,5.395,2.956,2.504,4.869
14.11,14.18,0.882,5.541,3.221,2.754,5.038
13.45,14.02,0.8604,5.516,3.065,3.531,5.097
13.16,13.82,0.8662,5.454,2.975,0.8551,5.056
15.49,14.94,0.8724,5.757,3.371,3.412,5.228
17.63,15.98,0.8673,6.191,3.561,4.076,6.06
16.84,15.67,0.8623,5.998,3.484,4.675,5.877
17.26,15.73,0.8763,5.978,3.594,4.539,5.791
19.11,16.26,0.9081,6.154,3.93,2.936,6.079
16.82,15.51,0.8786,6.017,3.486,4.004,5.841
16.77,15.62,0.8638,5.927,3.438,4.92,5.795
17.32,15.91,0.8599,6.064,3.403,3.824,5.922
20.71,17.23,0.8763,6.579,3.814,4.451,6.451
18.94,16.49,0.875,6.445,3.639,5.064,6.362
17.12,15.55,0.8892,5.85,3.566,2.858,5.746
16.53,15.34,0.8823,5.875,3.467,5.532,5.88
18.72,16.19,0.8977,6.006,3.857,5.324,5.879
20.2,16.89,0.8894,6.285,3.864,5.173,6.187
19.57,16.74,0.8779,6.384,3.772,1.472,6.273
19.51,16.71,0.878,6.366,3.801,2.962,6.185
18.27,16.09,0.887,6.173,3.651,2.443,6.197
18.88,16.26,0.8969,6.084,3.764,1.649,6.109
18.98,16.66,0.859,6.549,3.67,3.691,6.498
21.18,17.21,0.8989,6.573,4.033,5.78,6.231
20.88,17.05,0.9031,6.45,4.032,5.016,6.321
20.1,16.99,0.8746,6.581,3.785,1.955,6.449
18.76,16.2,0.8984,6.172,3.796,3.12,6.053
18.81,16.29,0.8906,6.272,3.693,3.237,6.053
18.59,16.05,0.9066,6.037,3.86,6.001,5.877
18.36,16.52,0.8452,6.666,3.485,4.933,6.448
16.87,15.65,0.8648,6.139,3.463,3.696,5.967
19.31,16.59,0.8815,6.341,3.81,3.477,6.238
18.98,16.57,0.8687,6.449,3.552,2.144,6.453
18.17,16.26,0.8637,6.271,3.512,2.853,6.273
18.72,16.34,0.881,6.219,3.684,2.188,6.097
16.41,15.25,0.8866,5.718,3.525,4.217,5.618
17.99,15.86,0.8992,5.89,3.694,2.068,5.837
13.07,13.92,0.848,5.472,2.994,5.304,5.395
13.32,13.94,0.8613,5.541,3.073,7.035,5.44
13.34,13.95,0.862,5.389,3.074,5.995,5.307
12.22,13.32,0.8652,5.224,2.967,5.469,5.221
11.82,13.4,0.8274,5.314,2.777,4.471,5.178
11.21,13.13,0.8167,5.279,2.687,6.169,5.275
11.43,13.13,0.8335,5.176,2.719,2.221,5.132
12.49,13.46,0.8658,5.267,2.967,4.421,5.002
12.7,13.71,0.8491,5.386,2.911,3.26,5.316
10.79,12.93,0.8107,5.317,2.648,5.462,5.194
11.83,13.23,0.8496,5.263,2.84,5.195,5.307
12.01,13.52,0.8249,5.405,2.776,6.992,5.27
12.26,13.6,0.8333,5.408,2.833,4.756,5.36
11.18,13.04,0.8266,5.22,2.693,3.332,5.001
11.36,13.05,0.8382,5.175,2.755,4.048,5.263
11.19,13.05,0.8253,5.25,2.675,5.813,5.219
11.34,12.87,0.8596,5.053,2.849,3.347,5.003
12.13,13.73,0.8081,5.394,2.745,4.825,5.22
11.75,13.52,0.8082,5.444,2.678,4.378,5.31
11.49,13.22,0.8263,5.304,2.695,5.388,5.31
12.54,13.67,0.8425,5.451,2.879,3.082,5.491
12.02,13.33,0.8503,5.35,2.81,4.271,5.308
12.05,13.41,0.8416,5.267,2.847,4.988,5.046
12.55,13.57,0.8558,5.333,2.968,4.419,5.176
11.14,12.79,0.8558,5.011,2.794,6.388,5.049
12.1,13.15,0.8793,5.105,2.941,2.201,5.056
12.44,13.59,0.8462,5.319,2.897,4.924,5.27
12.15,13.45,0.8443,5.417,2.837,3.638,5.338
11.35,13.12,0.8291,5.176,2.668,4.337,5.132
11.24,13,0.8359,5.09,2.715,3.521,5.088
11.02,13,0.8189,5.325,2.701,6.735,5.163
11.55,13.1,0.8455,5.167,2.845,6.715,4.956